Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST001,39,1,150,4,1,3,8,Loyal Customers
CUST002,309,1,1000,1,1,4,6,Potential Loyalists
CUST003,354,1,30,1,1,1,3,Lost Customers
CUST004,226,1,500,2,1,3,6,Potential Loyalists
CUST005,241,1,100,2,1,2,5,At Risk
CUST006,252,1,30,2,1,1,4,At Risk
CUST007,295,1,50,1,1,1,3,Lost Customers
CUST008,314,1,100,1,1,2,4,At Risk
CUST009,20,1,600,4,1,3,8,Loyal Customers
CUST010,87,1,200,4,1,3,8,Loyal Customers
CUST011,322,1,100,1,1,2,4,At Risk
CUST012,64,1,75,4,1,2,7,Potential Loyalists
CUST013,150,1,1500,3,1,4,8,Loyal Customers
CUST014,350,1,120,1,1,2,4,At Risk
CUST015,351,1,2000,1,1,4,6,Potential Loyalists
CUST016,319,1,1500,1,1,4,6,Potential Loyalists
CUST017,255,1,100,2,1,2,5,At Risk
CUST018,247,1,50,2,1,1,4,At Risk
CUST019,108,1,50,3,1,1,5,At Risk
CUST020,58,1,900,4,1,3,8,Loyal Customers
CUST021,353,1,500,1,1,3,5,At Risk
CUST022,79,1,100,4,1,2,7,Potential Loyalists
CUST023,265,1,120,2,1,2,5,At Risk
CUST024,34,1,300,4,1,3,8,Loyal Customers
CUST025,7,1,50,4,1,1,6,Potential Loyalists
CUST026,87,1,1000,4,1,4,9,Loyal Customers
CUST027,152,1,50,3,1,1,5,At Risk
CUST028,254,1,500,2,1,3,6,Potential Loyalists
CUST029,137,1,30,3,1,1,5,At Risk
CUST030,65,1,900,4,1,3,8,Loyal Customers
CUST031,224,1,1200,2,1,4,7,Potential Loyalists
CUST032,363,1,90,1,1,2,4,At Risk
CUST033,285,1,100,1,1,2,4,At Risk
CUST034,9,1,150,4,1,3,8,Loyal Customers
CUST035,150,1,900,3,1,3,7,Potential Loyalists
CUST036,192,1,900,2,1,3,6,Potential Loyalists
